beta_type,dist,n,p,rho,target_censoring,lambda_choice,mean_lambda,median_lambda,sd_lambda
allones,exponential,100.000,10,0,0,min,0.00495009545692372,0.00498505498031354,1.149595644546e-4
allones,exponential,100.000,20,0,0,min,0.00277442605543102,0.00277432798734387,2.85315364942689e-5
allones,exponential,100.000,50,0,0,min,0.00114060463258193,0.0011406631593610301,1.81250047459794e-5
allones,exponential,100.000,10,0,0.1,min,0.00473812336185294,0.00474044773058418,4.66671031037356e-5
allones,exponential,100.000,20,0,0.1,min,0.00264571614643443,0.00264318203369277,1.96226524410157e-5
allones,exponential,100.000,50,0,0.1,min,0.00118242420415255,0.00120474217026294,4.95119169050969e-5
allones,exponential,100.000,10,0,0.3,min,0.00407930594424097,0.00407933279005344,4.4202918576642e-5
allones,exponential,100.000,20,0,0.3,min,0.00229482613570443,0.00229440087419943,2.1098648629205e-5
allones,exponential,100.000,50,0,0.3,min,9.8840846767109e-4,9.6433217018106e-4,4.44083908103178e-5
allones,exponential,100.000,10,0.3,0,min,0.0053731164066299,0.00537496363270235,2.4829128255253e-5
allones,exponential,100.000,20,0.3,0,min,0.00285523211708184,0.00289828796996155,9.54451691213789e-5
allones,exponential,100.000,50,0.3,0,min,0.00113072169982075,0.00114211737528354,3.23717684798636e-5
allones,exponential,100.000,10,0.3,0.1,min,0.00511505759212065,0.0051158777653337,2.60008812100654e-5
allones,exponential,100.000,20,0.3,0.1,min,0.00278572108800768,0.00278549318757572,1.30721981656317e-5
allones,exponential,100.000,50,0.3,0.1,min,0.00111245606203104,0.00112720567202745,3.6374908993359e-5
allones,exponential,100.000,10,0.3,0.3,min,0.00442963001255408,0.0044303655908853,2.389176499396e-5
allones,exponential,100.000,20,0.3,0.3,min,0.00241750265544178,0.0024171031542424,1.38089969853896e-5
allones,exponential,100.000,50,0.3,0.3,min,9.0467932675519e-4,8.9863428089463e-4,2.32803139037626e-5
allones,gompertz,100.000,10,0,0,min,0.00496323285058747,0.00497506285972562,7.87101212371197e-5
allones,gompertz,100.000,20,0,0,min,0.00277740225692709,0.00277722325743714,2.14382478850586e-5
allones,gompertz,100.000,10,0,0.1,min,0.00471450760907228,0.00471463612209171,4.45548994966529e-5
allones,gompertz,100.000,20,0,0.1,min,0.00263703536328801,0.00263568711139399,2.31111382817718e-5
allones,gompertz,100.000,10,0,0.3,min,0.00407403190011664,0.00407214598878985,2.27985287212223e-5
allones,gompertz,100.000,20,0,0.3,min,0.00228497473409496,0.00228529286740161,2.10459730444572e-5
allones,gompertz,100.000,10,0.3,0,min,0.00537402221768838,0.0053747895683586,2.57576241221306e-5
allones,gompertz,100.000,20,0.3,0,min,0.0027313213435802,0.00266982904829822,1.0830231179944e-4
allones,gompertz,100.000,10,0.3,0.1,min,0.0050889236321883,0.00509315332496122,2.62237060483757e-5
allones,gompertz,100.000,20,0.3,0.1,min,0.00276404545206983,0.00276266448006726,1.49225717058503e-5
allones,gompertz,100.000,10,0.3,0.3,min,0.00441689250914016,0.00441479593264933,2.23451933663028e-5
allones,lognormal,100.000,10,0,0,min,0.00552029323525972,0.00555349359126846,1.3047287414482e-4
allones,lognormal,100.000,20,0,0,min,0.00307620422851706,0.00307905651573868,2.93726757462647e-5
allones,lognormal,100.000,50,0,0,min,0.00128059868874841,0.00126011919559259,4.73926037118128e-5
